seller_id,product_id,kota_id,nama,email,no_telp
101,1,3171,Masha Branscomb,masha@gmail.com,9807599768
101,2,3171,Masha Branscomb,masha@gmail.com,9807599768
101,3,3171,Masha Branscomb,masha@gmail.com,9807599768
101,4,3171,Masha Branscomb,masha@gmail.com,9807599768
101,5,3171,Masha Branscomb,masha@gmail.com,9807599768
101,6,3171,Masha Branscomb,masha@gmail.com,9807599768
101,7,3171,Masha Branscomb,masha@gmail.com,9807599768
101,8,3171,Masha Branscomb,masha@gmail.com,9807599768
101,9,3171,Masha Branscomb,masha@gmail.com,9807599768
101,10,3171,Masha Branscomb,masha@gmail.com,9807599768
102,11,3172,Tamas Kinnon,tamas@gmail.com,9158214996
102,12,3172,Tamas Kinnon,tamas@gmail.com,9158214996
102,13,3172,Tamas Kinnon,tamas@gmail.com,9158214996
102,14,3172,Tamas Kinnon,tamas@gmail.com,9158214996
102,15,3172,Tamas Kinnon,tamas@gmail.com,9158214996
103,16,3173,Sylvan	Godson,sylvan@gmail.com,9312016626
103,17,3173,Sylvan	Godson,sylvan@gmail.com,9312016626
103,18,3173,Sylvan	Godson,sylvan@gmail.com,9312016626
103,19,3173,Sylvan	Godson,sylvan@gmail.com,9312016626
103,20,3173,Sylvan	Godson,sylvan@gmail.com,9312016626
104,21,3174,Esma Forsdicke,esma@gmail.com,3034001203
104,22,3174,Esma Forsdicke,esma@gmail.com,3034001203
104,23,3174,Esma Forsdicke,esma@gmail.com,3034001203
104,24,3174,Esma Forsdicke,esma@gmail.com,3034001203
104,25,3174,Esma Forsdicke,esma@gmail.com,3034001203
105,26,3175,Saunders Mayling,saunders@gmail.com,9749279369
105,27,3175,Saunders Mayling,saunders@gmail.com,9749279369
105,28,3175,Saunders Mayling,saunders@gmail.com,9749279369
105,29,3175,Saunders Mayling,saunders@gmail.com,9749279369
105,30,3175,Saunders Mayling,saunders@gmail.com,9749279369
106,31,3573,Dorey Portinari,dorey@gmail.com,7354065906
106,32,3573,Dorey Portinari,dorey@gmail.com,7354065906
106,33,3573,Dorey Portinari,dorey@gmail.com,7354065906
106,34,3573,Dorey Portinari,dorey@gmail.com,7354065906
106,35,3573,Dorey Portinari,dorey@gmail.com,7354065906
107,36,3578,Curran	Ainsworth,curran@gmail.com,7941320019
107,37,3578,Curran	Ainsworth,curran@gmail.com,7941320019
107,38,3578,Curran	Ainsworth,curran@gmail.com,7941320019
107,39,3578,Curran	Ainsworth,curran@gmail.com,7941320019
107,40,3578,Curran	Ainsworth,curran@gmail.com,7941320019
108,41,3471,Eli Mathevet,eli@gmail.com,3386914366
109,42,3273,Isidora Diddams,isidora@gmail.com,8431341593
109,43,3273,Isidora Diddams,isidora@gmail.com,8431341593
109,44,3273,Isidora Diddams,isidora@gmail.com,8431341593
110,45,1371,Donella Searchfield,donella@gmail.com,7075966305
111,46,1375,Obidiah Clovan,obidiah@gmail.com,8581188311
111,47,1375,Obidiah Clovan,obidiah@gmail.com,8581188311
111,48,1375,Obidiah Clovan,obidiah@gmail.com,8581188311
111,49,1375,Obidiah Clovan,obidiah@gmail.com,8581188311
111,50,1375,Obidiah Clovan,obidiah@gmail.com,8581188311
